name,net_worth,gender,age,birth_year,birth_month,birth_day,industry,self_made,country,gdp_country,cpi_change_country,gross_tertiary_education_enrollment,life_expectancy_country,total_tax_rate_country,population_country
Jiang Weiping & family,5500,M,68.0,1955.0,3.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Antonia Ax:son Johnson & family,9200,F,79.0,1943.0,9.0,6.0,Diversified,False,Sweden,"$530,832,908,738 ",1.8,67.0,82.5,49.1,10285453.0
Binod Chaudhary,1800,M,67.0,1955.0,4.0,14.0,Diversified,False,Nepal,"$30,641,380,604 ",5.6,12.4,70.5,41.8,28608710.0
Chad Richison,2200,M,52.0,1970.0,10.0,10.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Tom Ford,2200,M,61.0,1961.0,8.0,27.0,Fashion & Retail,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Don Vultaggio & family,7000,M,71.0,1952.0,2.0,26.0,Food & Beverage,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Haryanto Tjiptodihardjo,1000,M,59.0,1963.0,4.0,30.0,Manufacturing,False,Indonesia,"$1,119,190,780,753 ",3.0,36.3,71.5,30.1,270203917.0
Giammaria Giuliani,1600,M,45.0,1978.0,2.0,20.0,Healthcare,False,Switzerland,"$703,082,435,360 ",0.4,59.6,83.6,28.8,8574832.0
Anu Aga,2000,F,80.0,1942.0,8.0,1.0,Construction & Engineering,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
P.V. Krishna Reddy,2000,M,53.0,1969.0,6.0,30.0,Construction & Engineering,True,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Djoko Susanto,4200,M,73.0,1950.0,2.0,9.0,Fashion & Retail,True,Indonesia,"$1,119,190,780,753 ",3.0,36.3,71.5,30.1,270203917.0
Palmer Luckey,1700,M,30.0,1992.0,9.0,19.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Arvind Tiku,2500,M,53.0,1970.0,2.0,22.0,Energy,True,Singapore,"$372,062,527,489 ",0.6,84.8,83.1,21.0,5703569.0
Wang Yanqing & family,3700,M,56.0,1966.0,4.0,7.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Shari Arison,4200,F,65.0,1957.0,9.0,9.0,Service,False,Israel,"$395,098,666,122 ",0.8,63.4,82.8,25.3,9053300.0
Seo Jung-jin,5600,M,65.0,1957.0,10.0,23.0,Healthcare,True,South Korea,"$2,029,000,000,000 ",0.4,94.3,82.6,33.2,51709098.0
James Scapa,1300,M,66.0,1957.0,1.0,23.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Lynda Resnick,5300,F,80.0,1943.0,1.0,2.0,Food & Beverage,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Jayshree Ullal,2300,F,62.0,1961.0,3.0,27.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Liu Xiucai & family,1500,M,66.0,1957.0,3.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Xie Bingkun & family,2300,M,56.0,1966.0,8.0,25.0,Fashion & Retail,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Alberto Cortina,1300,M,77.0,1946.0,1.0,20.0,Finance & Investments,True,Spain,"$1,394,116,310,769 ",0.7,88.9,83.3,47.0,47076781.0
Deniz Sahenk,1300,F,77.0,1945.0,8.0,6.0,Diversified,False,Turkey,"$754,411,708,203 ",15.2,23.9,77.4,42.3,83429615.0
Laurene Powell Jobs & family,12000,F,59.0,1963.0,11.0,6.0,Technology,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Cai Huabo,1600,M,47.0,1976.0,1.0,1.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Juan Roig,3600,M,73.0,1949.0,10.0,8.0,Fashion & Retail,False,Spain,"$1,394,116,310,769 ",0.7,88.9,83.3,47.0,47076781.0
George Joseph,1300,M,101.0,1921.0,9.0,11.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Roberto Angelini Rossi,1900,M,74.0,1948.0,7.0,30.0,Diversified,False,Chile,"$282,318,159,745 ",2.6,88.5,80.0,34.0,18952038.0
Jim Breyer,1700,M,61.0,1961.0,7.0,26.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Fatih Ozmen,2400,M,65.0,1958.0,2.0,2.0,Manufacturing,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Victor Pinchuk,2100,M,62.0,1960.0,12.0,14.0,Metals & Mining,True,Ukraine,"$153,781,069,118 ",7.9,82.7,71.6,45.2,44385155.0
Asok Kumar Hiranandani,1700,M,68.0,1954.0,11.0,28.0,Real Estate,False,Singapore,"$372,062,527,489 ",0.6,84.8,83.1,21.0,5703569.0
Randa Duncan Williams,6800,F,61.0,1961.0,8.0,28.0,Energy,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Rocco Commisso,7800,M,73.0,1949.0,11.0,25.0,Telecom,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Hu Kaijun,4300,M,61.0,1962.0,1.0,1.0,Healthcare,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Satyanarayan Nuwal,1800,M,70.0,1952.0,7.0,25.0,Manufacturing,True,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Terrence Pegula,6700,M,72.0,1951.0,3.0,27.0,Energy,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Loo Choon Yong,1000,M,74.0,1949.0,2.0,27.0,Healthcare,True,Singapore,"$372,062,527,489 ",0.6,84.8,83.1,21.0,5703569.0
Murdaya Poo,1200,M,82.0,1941.0,1.0,12.0,Diversified,False,Indonesia,"$1,119,190,780,753 ",3.0,36.3,71.5,30.1,270203917.0
Wei Gu,1500,M,58.0,1965.0,1.0,27.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Ben Silbermann,1500,M,40.0,1982.0,7.0,14.0,Media & Entertainment,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Zsolt Felcsuti,1200,M,51.0,1971.0,5.0,26.0,Manufacturing,True,Hungary,"$160,967,157,504 ",3.3,48.5,75.8,37.9,9769949.0
Jay Y. Lee,7900,M,54.0,1968.0,6.0,23.0,Technology,False,South Korea,"$2,029,000,000,000 ",0.4,94.3,82.6,33.2,51709098.0
Jean Coutu & family,3000,M,95.0,1927.0,5.0,29.0,Fashion & Retail,True,Canada,"$1,736,425,629,520 ",1.9,68.9,81.9,24.5,36991981.0
Ira Rennert,3500,M,88.0,1934.0,5.0,31.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Hans Melchers,2600,M,84.0,1938.0,4.0,28.0,Finance & Investments,True,Netherlands,"$909,070,395,161 ",2.6,85.0,81.8,41.2,17332850.0
Yuantai Chen,1000,M,55.0,1968.0,3.0,1.0,Energy,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Stewart Resnick,5300,M,86.0,1936.0,12.0,24.0,Food & Beverage,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Manuel Lao Hernández,1100,M,78.0,1944.0,6.0,10.0,Gambling & Casinos,True,Spain,"$1,394,116,310,769 ",0.7,88.9,83.3,47.0,47076781.0
Hans Georg Naeder,2600,M,61.0,1961.0,9.0,4.0,Manufacturing,False,Germany,"$3,845,630,030,824 ",1.4,70.2,80.9,48.8,83132799.0
Timur Turlov,3100,M,35.0,1987.0,11.0,13.0,Finance & Investments,True,Kazakhstan,"$180,161,741,180 ",5.2,61.7,73.2,28.4,18513930.0
Jim Kennedy,8400,M,75.0,1947.0,11.0,29.0,Media & Entertainment,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Louis Bacon,1600,M,66.0,1956.0,7.0,25.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Stefan Quandt,24600,M,56.0,1966.0,5.0,9.0,Automotive,False,Germany,"$3,845,630,030,824 ",1.4,70.2,80.9,48.8,83132799.0
Joseph Bae,1100,M,51.0,1972.0,1.0,12.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Ashok Kajaria,1000,M,75.0,1947.0,8.0,1.0,Manufacturing,True,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
James Jannard,2200,M,73.0,1949.0,6.0,8.0,Fashion & Retail,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Timothy Boyle,2300,M,73.0,1949.0,9.0,7.0,Fashion & Retail,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Michael Ashley,4800,M,58.0,1964.0,9.0,12.0,Fashion & Retail,True,United Kingdom,"$2,827,113,184,696 ",1.7,60.0,81.3,30.6,66834405.0
Alexander Klyachin,1200,M,55.0,1967.0,5.0,18.0,Real Estate,True,Russia,"$1,699,876,578,871 ",4.5,81.9,72.7,46.2,144373535.0
Sytse 'Sid' Sijbrandij,1200,M,43.0,1979.0,8.0,1.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Wu Kaiting,1100,M,53.0,1969.0,12.0,1.0,Telecom,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Roman Trotsenko,3200,M,52.0,1970.0,9.0,12.0,Logistics,True,Russia,"$1,699,876,578,871 ",4.5,81.9,72.7,46.2,144373535.0
Semahat Sevim Arsel,3000,F,94.0,1928.0,9.0,8.0,Diversified,False,Turkey,"$754,411,708,203 ",15.2,23.9,77.4,42.3,83429615.0
Francois Feuillet & family,1700,M,74.0,1949.0,1.0,1.0,Automotive,False,France,"$2,715,518,274,227 ",1.1,65.6,82.5,60.7,67059887.0
Stéphane Bancel,4400,M,50.0,1972.0,7.0,20.0,Healthcare,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Liang Yunchao,2700,M,54.0,1969.0,1.0,3.0,Food & Beverage,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Prathap Reddy,2200,M,91.0,1932.0,2.0,5.0,Healthcare,True,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Ben Chestnut,4000,M,48.0,1974.0,6.0,15.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Lei Jun,9700,M,53.0,1969.0,12.0,16.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Charoen Sirivadhanabhakdi,14800,M,78.0,1944.0,5.0,2.0,Food & Beverage,True,Thailand,"$543,649,976,166 ",0.7,49.3,76.9,29.5,69625582.0
James Dinan,1900,M,63.0,1959.0,5.0,22.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Martin Moller Nielsen,1300,M,58.0,1964.0,8.0,1.0,Logistics,True,Switzerland,"$703,082,435,360 ",0.4,59.6,83.6,28.8,8574832.0
Zhang Guiping & family,1000,M,71.0,1951.0,8.0,21.0,Real Estate,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Dilip Surana,1400,M,57.0,1966.0,1.0,18.0,Healthcare,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Jayme Garfinkel & family,1800,M,77.0,1945.0,11.0,30.0,Finance & Investments,False,Brazil,"$1,839,758,040,766 ",3.7,51.3,75.7,65.1,212559417.0
Tom Persson,1400,M,38.0,1985.0,1.0,1.0,Fashion & Retail,False,Sweden,"$530,832,908,738 ",1.8,67.0,82.5,49.1,10285453.0
Howard Schultz,3700,M,69.0,1953.0,7.0,19.0,Food & Beverage,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Clayton Mathile,2300,M,82.0,1941.0,1.0,11.0,Food & Beverage,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Tony Tamer,5100,M,65.0,1957.0,10.0,12.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Faruk Eczacibasi,1900,M,68.0,1954.0,6.0,15.0,Diversified,False,Turkey,"$754,411,708,203 ",15.2,23.9,77.4,42.3,83429615.0
Joseph Edelman,2500,M,67.0,1955.0,6.0,10.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Keshub Mahindra,1200,M,99.0,1923.0,10.0,9.0,Diversified,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Maurizio Billi,3500,M,65.0,1957.0,11.0,22.0,Healthcare,False,Brazil,"$1,839,758,040,766 ",3.7,51.3,75.7,65.1,212559417.0
Carlos Hank Rhon,3000,M,75.0,1947.0,12.0,10.0,Diversified,False,Mexico,"$1,258,286,717,125 ",3.6,40.2,75.0,55.1,126014024.0
"Karl Scheufele, III. & family",2200,M,84.0,1939.0,1.0,1.0,Fashion & Retail,True,Switzerland,"$703,082,435,360 ",0.4,59.6,83.6,28.8,8574832.0
Reinhold Wuerth & family,29700,M,87.0,1935.0,4.0,20.0,Manufacturing,True,Germany,"$3,845,630,030,824 ",1.4,70.2,80.9,48.8,83132799.0
Stefan Persson,16200,M,75.0,1947.0,10.0,4.0,Fashion & Retail,False,Sweden,"$530,832,908,738 ",1.8,67.0,82.5,49.1,10285453.0
Alexandre Behring,5200,M,56.0,1967.0,2.0,20.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Yang Huiyan & family,8200,F,41.0,1981.0,9.0,27.0,Real Estate,False,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
John Catsimatidis,4100,M,74.0,1948.0,9.0,7.0,Energy,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
David Paul,1400,M,56.0,1966.0,12.0,25.0,Healthcare,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Jack Cowin,2700,M,80.0,1942.0,7.0,13.0,Food & Beverage,True,Australia,"$1,392,680,589,329 ",1.6,113.1,82.7,47.4,25766605.0
Subhash Runwal,1400,M,79.0,1943.0,5.0,22.0,Real Estate,True,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Denis Shtengelov,1300,M,50.0,1972.0,5.0,14.0,Food & Beverage,True,Australia,"$1,392,680,589,329 ",1.6,113.1,82.7,47.4,25766605.0
Daniel D'Aniello,3500,M,76.0,1946.0,9.0,14.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Liu Baolin,1000,M,69.0,1953.0,6.0,1.0,Fashion & Retail,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Shmuel Harlap,2200,M,78.0,1944.0,11.0,13.0,Automotive,False,Israel,"$395,098,666,122 ",0.8,63.4,82.8,25.3,9053300.0
Wu Yulan,1600,F,53.0,1969.0,8.0,26.0,Healthcare,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
"Paul Tudor Jones, II.",7500,M,68.0,1954.0,9.0,28.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Thor Bjorgolfsson,2500,M,56.0,1967.0,3.0,19.0,Diversified,True,United Kingdom,"$2,827,113,184,696 ",1.7,60.0,81.3,30.6,66834405.0
"Drayton McLane, Jr.",2800,M,86.0,1936.0,7.0,22.0,Fashion & Retail,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Harald Link,2200,M,68.0,1955.0,1.0,12.0,Diversified,False,Thailand,"$543,649,976,166 ",0.7,49.3,76.9,29.5,69625582.0
Sandeep Engineer,2500,M,61.0,1961.0,5.0,11.0,Manufacturing,True,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Miao Shouliang,1400,M,68.0,1955.0,1.0,1.0,Real Estate,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Edward Bass,2400,M,77.0,1945.0,9.0,10.0,Energy,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
"Jacques Saadé, Jr.",9800,M,51.0,1971.0,8.0,10.0,Logistics,False,France,"$2,715,518,274,227 ",1.1,65.6,82.5,60.7,67059887.0
Francesco Gaetano Caltagirone,3800,M,80.0,1943.0,3.0,21.0,Construction & Engineering,True,Italy,"$2,001,244,392,042 ",0.6,61.9,82.9,59.1,60297396.0
Zhang Ning & family,2100,F,49.0,1974.0,4.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Li Jianli,1500,M,50.0,1972.0,9.0,27.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Mario Moretti Polegato & family,1500,M,70.0,1952.0,8.0,16.0,Fashion & Retail,True,Italy,"$2,001,244,392,042 ",0.6,61.9,82.9,59.1,60297396.0
Wang Wenjing,4300,M,58.0,1964.0,12.0,5.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Yonghong Shi & family,3000,M,54.0,1969.0,1.0,1.0,Food & Beverage,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Wu Xiaoge,1300,F,50.0,1972.0,11.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
You Xiaoping & family,4500,M,65.0,1958.0,1.0,21.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Bob Gaglardi,3600,M,82.0,1941.0,2.0,19.0,Real Estate,True,Canada,"$1,736,425,629,520 ",1.9,68.9,81.9,24.5,36991981.0
Vladimir Bogdanov,1400,M,71.0,1951.0,5.0,28.0,Energy,True,Russia,"$1,699,876,578,871 ",4.5,81.9,72.7,46.2,144373535.0
"Jeremy Jacobs, Sr. & family",4100,M,83.0,1940.0,1.0,21.0,Service,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Victoria Mars,9600,F,66.0,1956.0,12.0,15.0,Food & Beverage,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Wilhelm Beier & family,2000,M,66.0,1956.0,4.0,21.0,Healthcare,True,Germany,"$3,845,630,030,824 ",1.4,70.2,80.9,48.8,83132799.0
John Oyler,1300,M,55.0,1968.0,4.0,3.0,Healthcare,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Wang Linpeng,2100,M,54.0,1968.0,5.0,1.0,Construction & Engineering,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
N.R. Narayana Murthy,4500,M,76.0,1946.0,8.0,20.0,Technology,True,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Craig McCaw,2000,M,73.0,1949.0,8.0,11.0,Telecom,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Orion Hindawi,1200,M,43.0,1980.0,1.0,10.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Li Xiaohua & family,2900,M,61.0,1962.0,1.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Vladimir Litvinenko & family,3100,M,67.0,1955.0,8.0,14.0,Manufacturing,True,Russia,"$1,699,876,578,871 ",4.5,81.9,72.7,46.2,144373535.0
Zhang Xiaojuan,1700,F,53.0,1969.0,10.0,1.0,Logistics,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
George Lucas,5000,M,78.0,1944.0,5.0,14.0,Media & Entertainment,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Lindsay Fox,3200,M,85.0,1937.0,4.0,19.0,Logistics,True,Australia,"$1,392,680,589,329 ",1.6,113.1,82.7,47.4,25766605.0
Fashu Chen,3500,M,62.0,1960.0,10.0,26.0,Finance & Investments,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Joel Greenberg,1300,M,65.0,1957.0,8.0,19.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Ke Xiping & family,1500,M,62.0,1960.0,6.0,7.0,Diversified,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Micky Arison,5500,M,73.0,1949.0,6.0,29.0,Service,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
"Henry Sy, Jr.",2500,M,69.0,1954.0,1.0,1.0,Diversified,False,Philippines,"$376,795,508,680 ",2.5,35.5,71.1,43.1,108116615.0
Zheng Xiaodong,1700,M,59.0,1964.0,3.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Daniel Och,3700,M,62.0,1961.0,1.0,27.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Hortensia Herrero,2100,F,72.0,1950.0,5.0,20.0,Fashion & Retail,False,Spain,"$1,394,116,310,769 ",0.7,88.9,83.3,47.0,47076781.0
Fernando Chico Pardo,2600,M,71.0,1952.0,2.0,15.0,Service,True,Mexico,"$1,258,286,717,125 ",3.6,40.2,75.0,55.1,126014024.0
Choo Chong Ngen,2800,M,69.0,1953.0,4.0,21.0,Real Estate,True,Singapore,"$372,062,527,489 ",0.6,84.8,83.1,21.0,5703569.0
Phillip T. (Terry) Ragon,2200,M,73.0,1949.0,6.0,1.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Alexander Karp,1300,M,55.0,1967.0,10.0,1.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Sharon Azrieli,1200,F,62.0,1960.0,8.0,4.0,Real Estate,False,Canada,"$1,736,425,629,520 ",1.9,68.9,81.9,24.5,36991981.0
Ramesh Juneja,1500,M,67.0,1955.0,7.0,28.0,Healthcare,True,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Zhang Wanzhen,2000,M,73.0,1949.0,12.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Long Jiang,2300,M,49.0,1974.0,2.0,1.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Joseph Grendys,3800,M,61.0,1961.0,12.0,1.0,Food & Beverage,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Ludwig Merckle,5500,M,58.0,1965.0,1.0,1.0,Finance & Investments,False,Germany,"$3,845,630,030,824 ",1.4,70.2,80.9,48.8,83132799.0
Rolf Gerling,1700,M,68.0,1954.0,12.0,15.0,Finance & Investments,False,Switzerland,"$703,082,435,360 ",0.4,59.6,83.6,28.8,8574832.0
Michael Otto,8700,M,79.0,1943.0,4.0,12.0,Fashion & Retail,False,Germany,"$3,845,630,030,824 ",1.4,70.2,80.9,48.8,83132799.0
Oleg Boyko,1100,M,58.0,1964.0,9.0,28.0,Diversified,True,Switzerland,"$703,082,435,360 ",0.4,59.6,83.6,28.8,8574832.0
Michel Leclercq & family,5000,M,83.0,1939.0,5.0,27.0,Fashion & Retail,False,France,"$2,715,518,274,227 ",1.1,65.6,82.5,60.7,67059887.0
Suh Kyung-bae,1800,M,60.0,1963.0,1.0,14.0,Fashion & Retail,False,South Korea,"$2,029,000,000,000 ",0.4,94.3,82.6,33.2,51709098.0
Shyam Bhartia,1300,M,70.0,1952.0,11.0,9.0,Healthcare,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Mohamed Al Fayed,2000,M,94.0,1929.0,1.0,27.0,Fashion & Retail,True,United Kingdom,"$2,827,113,184,696 ",1.7,60.0,81.3,30.6,66834405.0
"Edward Roski, Jr.",6700,M,84.0,1938.0,12.0,25.0,Real Estate,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
A. Jayson Adair,1300,M,53.0,1969.0,10.0,16.0,Automotive,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Piero Ferrari,5500,M,77.0,1945.0,5.0,22.0,Automotive,False,Italy,"$2,001,244,392,042 ",0.6,61.9,82.9,59.1,60297396.0
Elena Baturina,1300,F,60.0,1963.0,3.0,8.0,Construction & Engineering,True,United Kingdom,"$2,827,113,184,696 ",1.7,60.0,81.3,30.6,66834405.0
Wan Long,1100,M,82.0,1940.0,9.0,1.0,Food & Beverage,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Adi Godrej,2800,M,81.0,1942.0,4.0,3.0,Diversified,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Giovanni Ferrero,38900,M,58.0,1964.0,9.0,21.0,Food & Beverage,False,Belgium,"$529,606,710,418 ",1.4,79.7,81.6,55.4,11484055.0
Yu Faxiang,1100,M,51.0,1971.0,10.0,7.0,Media & Entertainment,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Sun Huaiqing & family,1700,M,53.0,1969.0,10.0,2.0,Fashion & Retail,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Azim Premji,9200,M,77.0,1945.0,7.0,24.0,Technology,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Todd Christopher,3000,M,60.0,1962.0,10.0,8.0,Fashion & Retail,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Cai Mingtong,1300,M,71.0,1952.0,2.0,15.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Thomas Bruch,1100,M,72.0,1950.0,4.0,25.0,Fashion & Retail,False,Germany,"$3,845,630,030,824 ",1.4,70.2,80.9,48.8,83132799.0
Daniel Dines,1600,M,51.0,1972.0,1.0,1.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Parker Conrad,1800,M,42.0,1980.0,4.0,13.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Esther Grether,1500,F,87.0,1936.0,1.0,1.0,Fashion & Retail,False,Switzerland,"$703,082,435,360 ",0.4,59.6,83.6,28.8,8574832.0
Johnelle Hunt,4300,F,91.0,1932.0,1.0,4.0,Logistics,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Thomas James,2200,M,80.0,1942.0,5.0,10.0,Finance & Investments,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
John Doerr,8800,M,71.0,1951.0,6.0,29.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
