name,net_worth,gender,age,birth_year,birth_month,birth_day,industry,self_made,country,gdp_country,cpi_change_country,gross_tertiary_education_enrollment,life_expectancy_country,total_tax_rate_country,population_country
Xu Guozhong & family,1400,M,59.0,1963.0,9.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Wu Xushun & family,1300,M,74.0,1948.0,4.0,28.0,Diversified,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Sunny Varkey,3000,M,65.0,1957.0,4.0,9.0,Service,False,United Arab Emirates,"$421,142,267,938 ",-1.9,36.8,77.8,15.9,9770529.0
Yuequn Tao,1500,M,63.0,1960.0,1.0,1.0,Fashion & Retail,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Richard Kinder,7200,M,78.0,1944.0,10.0,19.0,Energy,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Jeffrey Talpins,3300,M,48.0,1975.0,3.0,6.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Nigel Austin,1400,M,52.0,1970.0,9.0,25.0,Fashion & Retail,True,Australia,"$1,392,680,589,329 ",1.6,113.1,82.7,47.4,25766605.0
Vivek Chand Burman,2500,M,85.0,1937.0,4.0,28.0,Food & Beverage,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Helena Revoredo,1100,F,76.0,1947.0,2.0,10.0,Service,False,Spain,"$1,394,116,310,769 ",0.7,88.9,83.3,47.0,47076781.0
Mike Repole,1500,M,55.0,1968.0,1.0,21.0,Food & Beverage,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Ashwin Dani & family,7000,M,80.0,1942.0,10.0,24.0,Manufacturing,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Pan Longquan,1400,M,58.0,1965.0,1.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Patrizio Bertelli,5400,M,77.0,1946.0,1.0,1.0,Fashion & Retail,True,Italy,"$2,001,244,392,042 ",0.6,61.9,82.9,59.1,60297396.0
Daryl Katz,4300,M,61.0,1961.0,9.0,1.0,Diversified,True,Canada,"$1,736,425,629,520 ",1.9,68.9,81.9,24.5,36991981.0
Tanya Saadé Zeenny,9800,F,55.0,1968.0,2.0,1.0,Logistics,False,France,"$2,715,518,274,227 ",1.1,65.6,82.5,60.7,67059887.0
Michael Federmann & family,2900,M,79.0,1943.0,9.0,9.0,Technology,True,Israel,"$395,098,666,122 ",0.8,63.4,82.8,25.3,9053300.0
Wu Zhigang & family,2500,M,88.0,1935.0,1.0,14.0,Food & Beverage,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Tadashi Yanai & family,32600,M,74.0,1949.0,2.0,7.0,Fashion & Retail,True,Japan,"$5,081,769,542,380 ",0.5,63.2,84.2,46.7,126226568.0
Jerry Jones,13300,M,80.0,1942.0,10.0,13.0,Sports,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Fiona Geminder,2600,F,58.0,1964.0,12.0,1.0,Manufacturing,False,Australia,"$1,392,680,589,329 ",1.6,113.1,82.7,47.4,25766605.0
Tom Gores,6100,M,58.0,1964.0,7.0,31.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Henry Davis,2500,M,72.0,1951.0,2.0,16.0,Food & Beverage,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Tian Ming,2300,M,69.0,1953.0,12.0,20.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Alain Wertheimer,31600,M,74.0,1948.0,8.0,28.0,Fashion & Retail,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Stefan Reimann-Andersen,5400,M,59.0,1963.0,7.0,13.0,Fashion & Retail,False,Austria,"$446,314,739,528 ",1.5,85.1,81.6,51.4,8877067.0
David Murdock,2300,M,99.0,1923.0,4.0,10.0,Food & Beverage,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Edward Stack,2100,M,68.0,1954.0,12.0,27.0,Fashion & Retail,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Silvio Berlusconi & family,6800,M,86.0,1936.0,9.0,29.0,Diversified,True,Italy,"$2,001,244,392,042 ",0.6,61.9,82.9,59.1,60297396.0
Alexis Lê-Quôc,1700,M,48.0,1974.0,11.0,14.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
James Dyson,9300,M,75.0,1947.0,5.0,2.0,Manufacturing,True,United Kingdom,"$2,827,113,184,696 ",1.7,60.0,81.3,30.6,66834405.0
Nancy Lerner,1100,F,62.0,1960.0,5.0,11.0,Finance & Investments,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Manny Stul,1100,M,73.0,1949.0,5.0,9.0,Manufacturing,True,Australia,"$1,392,680,589,329 ",1.6,113.1,82.7,47.4,25766605.0
Danielle Bellon & family,4100,F,83.0,1940.0,2.0,8.0,Service,False,France,"$2,715,518,274,227 ",1.1,65.6,82.5,60.7,67059887.0
Alejandro Bailleres Gual & family,6900,M,62.0,1961.0,1.0,1.0,Diversified,False,Mexico,"$1,258,286,717,125 ",3.6,40.2,75.0,55.1,126014024.0
Swift Xie,1400,M,43.0,1980.0,1.0,1.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Robin Li,7700,M,54.0,1968.0,11.0,17.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Alicia Koplowitz,2600,F,69.0,1953.0,9.0,12.0,Finance & Investments,False,Spain,"$1,394,116,310,769 ",0.7,88.9,83.3,47.0,47076781.0
Gary Lauder,1300,M,60.0,1962.0,5.0,5.0,Fashion & Retail,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
David Velez & family,4500,M,41.0,1981.0,10.0,2.0,Finance & Investments,True,Brazil,"$1,839,758,040,766 ",3.7,51.3,75.7,65.1,212559417.0
Andrey Andreev,2000,M,49.0,1974.0,2.0,3.0,Technology,True,United Kingdom,"$2,827,113,184,696 ",1.7,60.0,81.3,30.6,66834405.0
Mu Rongjun,2100,M,43.0,1980.0,1.0,1.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Michael Arougheti,1200,M,50.0,1972.0,10.0,10.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
John Paul DeJoria,2900,M,78.0,1944.0,4.0,13.0,Fashion & Retail,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Ryan Smith,1600,M,44.0,1978.0,6.0,28.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Sanjay Agarwal,1200,M,52.0,1970.0,9.0,8.0,Finance & Investments,True,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
